Date,Price,Open,High,Low,Vol.,Change %
2024-06-26,1261.24,1256.56,1262.67,1247.55,878370.0,0.37
2024-06-25,1256.56,1254.12,1260.07,1250.25,835300.0,0.19
2024-06-24,1254.12,1282.02,1284.84,1252.66,1250000.0,-2.18
2024-06-21,1282.02,1282.3,1288.06,1279.44,834750.0,-0.02
2024-06-20,1282.3,1279.79,1286.54,1273.54,932550.0,0.2
2024-06-19,1279.79,1279.5,1284.14,1270.66,1000000.0,0.02
2024-06-18,1279.5,1274.77,1286.52,1274.77,805290.0,0.37
2024-06-17,1274.77,1279.91,1283.1,1272.54,900560.0,-0.4
2024-06-14,1279.91,1301.51,1305.02,1279.91,1110000.0,-1.66
2024-06-13,1301.51,1305.69,1306.01,1297.6,891330.0,0.1
2024-06-12,1300.19,1284.41,1301.35,1281.71,895260.0,1.23
2024-06-11,1284.41,1290.67,1296.41,1279.47,993340.0,-0.49
2024-06-10,1290.67,1287.58,1297.39,1287.44,858650.0,0.24
2024-06-07,1287.58,1283.56,1293.03,1283.13,698280.0,0.31
2024-06-06,1283.56,1288.79,1292.02,1278.4,893070.0,-0.06
2024-06-05,1284.35,1283.52,1293.93,1283.52,925060.0,0.06
2024-06-04,1283.52,1280.0,1289.31,1280.0,935850.0,0.28
2024-06-03,1280.0,1261.72,1284.48,1261.72,1050000.0,1.45
2024-05-31,1261.72,1266.32,1271.07,1261.43,771150.0,-0.36
2024-05-30,1266.32,1272.64,1272.64,1251.8,1050000.0,-0.5
2024-05-29,1272.64,1281.73,1285.63,1271.6,1070000.0,-0.71
2024-05-28,1281.73,1267.68,1281.73,1267.68,868580.0,1.11
2024-05-27,1267.68,1263.46,1267.68,1257.27,726700.0,0.46
2024-05-24,1261.93,1281.03,1285.07,1250.28,1370000.0,-1.49
2024-05-23,1281.03,1266.91,1281.03,1262.29,968130.0,1.11
2024-05-22,1266.91,1277.14,1283.06,1263.87,1140000.0,-0.8
2024-05-21,1277.14,1277.58,1281.29,1267.29,972160.0,-0.03
2024-05-20,1277.58,1273.11,1285.19,1273.11,1160000.0,0.35
2024-05-17,1273.11,1268.78,1274.27,1266.32,937040.0,0.34
2024-05-16,1268.78,1254.39,1271.66,1254.39,885060.0,1.15
2024-05-15,1254.39,1243.28,1257.92,1243.28,880170.0,0.89
2024-05-14,1243.28,1240.18,1252.52,1240.18,640490.0,0.25
2024-05-13,1240.18,1244.7,1249.2,1233.56,741580.0,-0.36
2024-05-10,1244.7,1248.64,1252.5,1237.46,669110.0,-0.32
2024-05-09,1248.64,1250.46,1256.8,1243.29,771550.0,-0.15
2024-05-08,1250.46,1248.63,1251.62,1234.76,981800.0,0.15
2024-05-07,1248.63,1241.58,1250.63,1240.09,707900.0,0.57
2024-05-06,1241.58,1221.03,1241.58,1221.03,864630.0,1.68
2024-05-03,1221.03,1216.36,1225.75,1216.36,643430.0,0.38
